firstname,middlename,lastname,year,financedetail,college,boardunitid1,boardunitid2,technology,otherfin,collegeschooltype,pehedge
"william","ingraham","koch",2003," non-financial","massachusetts institute of technology",,,0,0,3,0
"albert","lee","ueltschi",2003,"non-financial","",,,0,0,4,0
"gary","","magness",2003,"non-financial","",,,0,0,4,0
"john","r","menard",2003," non-financial","university of wisconsin eau claire",,,0,0,2,0
"george","b","kaiser",2003," non-financial","harvard university",,,0,0,3,0
"frederick","woodruff","field",2003," non-financial","",,,0,0,4,0
"arthur","m","blank",2003," non-financial","babson college",139658,,0,0,1,0
"james","h","clark",2003," non-financial","university of new orleans",,,1,0,1,0
"daniel","morton","ziff",2003,"hedge funds","columbia university",,,0,0,3,1
"bennett","","dorrance",2003," non-financial","university of arizona",,,0,0,2,0
"edmund","newton","ansin",2003,"non-financial","university of pennsylvania",,,0,0,3,0
"anne","windfohr","marion",2003,"non-financial","university of texas austin",,,0,0,2,0
"donald","joyce","hall",2003," non-financial","dartmouth college",,,0,0,3,0
"thomas","j","pritzker",2003,"other financial","claremont mckenna college",144050,,0,1,1,0
"martha","r","ingram",2003," non-financial","vassar college",221999,,0,0,1,0
"joan","beverly","kroc",2003,"non-financial","",,,0,0,4,0
"john","jay","moores",2003,"non-financial","university of houston",110635,,1,0,1,0
"helen","r","walton",2003,"non-financial","university of oklahoma",,,0,0,1,0
"maurice","raymond","greenberg",2003,"insurance","university of miami",,,0,1,1,0
"barry","","diller",2003," non-financial","",193900,,0,0,4,0
"george","leon","argyros",2003," non-financial","chapman university",110404,,0,0,1,0
"samuel","","wyly",2003,"hedge funds","louisiana tech university",,,0,0,1,1
"aubrey","","chernick",2003,"non-financial","university of manitoba",,,1,0,1,0
"robert","einar","petersen",2003," non-financial","high school",,,0,0,1,0
"ollen","bruton","smith",2003,"non-financial","high school",,,0,0,1,0
"william","alfred","cook",2003,"non-financial","northwestern university",,,0,0,3,0
"richard","","wendt",2003,"non-financial","",,,0,0,4,0
"thomas","","bailey",2003,"asset management","michigan state university",,,0,1,2,0
"robert","j","congel",2003,"non-financial","",,,0,0,4,0
"mark","","cuban",2003," non-financial","indiana university bloomington",,,0,0,2,0
"edward","john","debartolo",2003," non-financial","university of notre dame",,,0,0,3,0
"david","howard","murdock",2003," non-financial","high school",,,0,0,1,0
"joshua","iii","green",2003,"commercial banking","harvard university",,,0,1,3,0
"robert","allen","naify",2003,"non-financial","high school",,,0,0,1,0
"dwight","d","opperman",2003,"non-financial","",,,0,0,4,0
"barbara","carlson","gage",2003,"non-financial","northwestern university",,,0,0,3,0
"charles","bartlett","johnson",2003,"asset management","yale university",,,0,1,3,0
"meg","","whitman",2003," non-financial","princeton university",186131,,1,0,3,0
"oprah","","winfrey",2003," non-financial","tennessee state university",,,0,0,1,0
"scott","d","cook",2003," non-financial","university of southern california",,,1,0,3,0
"leslie","herbert","wexner",2003," non-financial","ohio state university",,,0,0,2,0
"dean","v","white",2003,"non-financial","",,,0,0,4,0
"william","s","kellogg",2003,"non-financial","high school",,,0,0,1,0
"w","duncan","macmillan",2003," non-financial","brown university",217156,,0,0,3,0
"stephen","davison","bechtel",2003," non-financial","purdue university",110404,,0,0,2,0
"patrick","f","taylor",2003,"non-financial","louisiana state university",,,0,0,1,0
"bobby","ray","johnson",2003,"non-financial","",,,0,0,4,0
"carl","henry","lindner",2003,"commercial banking","high school",,,0,1,1,0
"phoebe","hearst","cooke",2003," non-financial","",,,0,0,4,0
"maggie","hardy","magerko",2003,"non-financial","",,,0,0,4,0
"henry","t","nicholas",2003," non-financial","university of california los angeles",,,1,0,2,0
"norma","","lerner",2003,"non-financial","",,,0,0,4,0
"richard","j","egan",2003,"non-financial","northeastern university",167358,,0,0,3,0
"winthrop","paul","rockefeller",2003," non-financial","texas christian university",,,0,0,1,0
"randolph","d","lerner",2003,"non-financial","columbia university",,,0,0,3,0
"doris","feigenbaum","fisher",2003," non-financial","stanford university",,,0,0,3,0
"leonard","alan","lauder",2003," non-financial","university of pennsylvania",215062,,0,0,3,0
"john","e","abele",2003,"non-financial","amherst college",,,0,0,1,0
"oakleigh","blakeman","thorne",2003," non-financial","harvard university",,,0,0,3,0
"john","werner","kluge",2003," non-financial","columbia university",,,0,0,3,0
"robert","l","johnson",2003,"non-financial","university of illinois",162928,166683,0,0,2,0
"philip","h","knight",2003," non-financial","university of oregon",,,0,0,1,0
"frederick","a","krehbiel",2003,"non-financial","georgetown university",,,1,0,3,0
"alexander","gus","spanos",2003," non-financial","university of the pacific",,,0,0,1,0
"clayton","lee","mathile",2003," non-financial","ohio northern university",,,0,0,1,0
"pat","a","stryker",2003," non-financial","",,,0,0,4,0
"tom","t","gores",2003,"private equity","michigan state university",,,0,0,2,1
"christel","","dehaan",2003,"non-financial","high school",,,0,0,1,0
"anne","cox","chambers",2003," non-financial","finch college",,,0,0,1,0
"robert","c","mcnair",2003," non-financial","university of southern california",,,0,0,3,0
"john","hammond","krehbiel",2003,"non-financial","lake forest college",,,1,0,1,0
"sanford","","weill",2003,"investment banking","cornell university",,,0,1,3,0
"william","","morean",2003,"non-financial","",,,0,0,4,0
"sarah","turner","butler",2003,"non-financial","",,,0,0,4,0
"louis","v","gerstner",2003,"non-financial","dartmouth college",,,1,0,3,0
"todd","r","wagner",2003,"non-financial","indiana university bloomington",,,0,0,2,0
"john","w","brown",2003," non-financial","auburn university",,,0,0,1,0
"michael","robert","milken",2003,"private equity","university of california berkeley",,,0,0,2,1
"samuel","irving","newhouse",2003," non-financial","high school",,,0,0,1,0
"ernest","","gallo",2003," non-financial","",,,0,0,4,0
"kenny","a","troutt",2003,"non-financial","southern illinois university",,,1,0,1,0
"jim","c","walton",2003," non-financial","university of arkansas",,,0,0,1,0
"edward","p","roski",2003," non-financial","university of southern california",123961,,0,0,3,0
"sidney","","kimmel",2003,"non-financial","",,,0,0,4,0
"arthur","j","rock",2003,"venture capital","syracuse university",110404,,0,0,1,1
"sumner","m","redstone",2003," non-financial","harvard university",,,0,0,3,0
"steven","paul","jobs",2003," non-financial","",,,1,0,4,0
"david","","green",2003," non-financial","high school",,,0,0,1,0
"melvin","","simon",2003," non-financial","city college of new york",,,0,0,3,0
"barbara","piasecka","johnson",2003,"non-financial","",,,0,0,4,0
"stephen","j","bisciotti",2003," non-financial","salisbury state university",,,0,0,1,0
"andrew","jerrold","perenchio",2003,"non-financial","university of california los angeles",,,0,0,2,0
"marcy","","carsey",2003,"non-financial","university of new hampshire",,,0,0,1,0
"peter","r","kellogg",2003,"investment banking","",,,0,1,4,0
"robert","earl","holding",2003,"non-financial","university of utah",,,0,0,2,0
"jeremy","maurice","jacobs",2003," non-financial","state university of new york buffalo",,,0,0,3,0
"frank","sr","batten",2003," non-financial","university of virginia",,,0,0,2,0
"thomas","john","flatley",2003,"non-financial","",164924,,0,0,4,0
"whitney","","macmillan",2003," non-financial","yale university",,,0,0,3,0
"richard","t","farmer",2003,"non-financial","miami university",,,0,0,1,0
"leona","","helmsley",2003,"non-financial","high school",,,0,0,1,0
"joyce","raley","teel",2003,"non-financial","",,,0,0,4,0
"harold","","honickman",2003,"non-financial","",,,0,0,4,0
"barbara","hall","marshall",2003,"non-financial","university of kansas",,,0,0,1,0
"neil","gary","bluhm",2003," non-financial","university of illinois urbana-champaign",147767,,0,0,2,0
"richard","g","haworth",2003,"non-financial","western michigan university",,,0,0,1,0
"thomas","f","frist",2003," non-financial","vanderbilt university",,,0,0,3,0
"john","richard","simplot",2003," non-financial","high school",,,0,0,1,0
"john","edward","anderson",2003,"non-financial","university of california los angeles",,,0,0,2,0
"ken","","griffin",2003,"hedge funds","harvard university",144050,,0,0,3,1
"ronald","","burkle",2003,"non-financial","",,,0,0,4,0
"george","jr","strawbridge",2003,"non-financial","trinity college",,,0,0,1,0
"jeffrey","","katzenberg",2003,"non-financial","high school",,,0,0,1,0
"peter","","sperling",2003,"private equity","university of california santa barbara",,,0,0,2,1
"theodore","w","waitt",2003,"non-financial","",,,0,0,4,0
"lynne","","pasculano",2003,"non-financial","",,,0,0,4,0
"thomas","m","siebel",2003," non-financial","university of illinois urbana-champaign",,,1,0,2,0
"j","joe","ricketts",2003,"investment banking","creighton university",,,0,1,1,0
"robert","addison","day",2003,"asset management","claremont mckenna college",112260,,0,1,1,0
"haim","","saban",2003," non-financial","high school",110635,,0,0,1,0
"donald","j","schneider",2003,"non-financial","st. norbert college",,,0,0,1,0
"marvin","j","herb",2003,"non-financial","state university of new york buffalo",,,0,0,3,0
"lowell","jay","milken",2003,"private equity","university of california berkeley",,,0,0,2,1
"alan","i","casden",2003,"non-financial","university of southern california",123961,,0,0,3,0
"henry","r","kravis",2003,"private equity","claremont mckenna college",112260,,0,0,1,1
"charlotte","colket","weber",2003,"non-financial","university of paris",,,0,0,1,0
"riley","p","bechtel",2003," non-financial","university of california davis",,,0,0,2,0
"charles","de","koch",2003," non-financial","massachusetts institute of technology",,,0,0,3,0
"norman","","hascoe",2003,"asset management","university of connecticut",,,0,1,1,0
"kenneth","","feld",2003," non-financial","boston university",164988,,0,0,3,0
"mary","alice","malone",2003," non-financial","university of arizona",,,0,0,2,0
"thomas","","marsico",2003,"asset management","university of colorado",,,0,1,1,0
"alice","l","walton",2003," non-financial","trinity university",,,0,0,1,0
"michael","","krasny",2003,"non-financial","university of illinois urbana-champaign",,,0,0,2,0
"malcolm","iii","chace",2003,"asset management","yale university",,,0,1,3,0
"donald","edward","newhouse",2003," non-financial","",,,0,0,4,0
"ernest","e","stempel",2003,"insurance","manhattan college",,,0,1,1,0
"william","e","connor",2003,"non-financial","stanford university",,,0,0,3,0
"jacqueline","","mars",2003," non-financial","bryn mawr college",,,0,0,1,0
"jesse","mack","robinson",2003,"commerical banking","high school",139658,,0,1,1,0
"gary","campbell","comer",2003,"non-financial","high school",,,0,0,1,0
"jack","","nash",2003,"hedge funds","city college of new york",,,0,0,3,1
"preston","robert","tisch",2003," non-financial","university of michigan",193900,,0,0,2,0
"malcolm","","glazer",2003,"non-financial","",,,0,0,4,0
"richard","taylor","peery",2003," non-financial","brigham young university",,,0,0,1,0
"steven","anthony","ballmer",2003,"non-financial","harvard university",,,1,0,3,0
"s","daniel","abraham",2003," non-financial","high school",,,0,0,1,0
"rupert","harris","johnson",2003,"asset management","washington and lee university",,,0,1,1,0
"john","hugh","macmillan",2003," non-financial","university of minnesota",,,0,0,2,0
"marvin","l","oates",2003,"non-financial","",,,0,0,4,0
"amar","gopal","bose",2003,"non-financial","massachusetts institute of technology",,,0,0,3,0
"ted","","turner",2003," non-financial","brown university",,,0,0,3,0
"leslie","l","gonda",2003,"non-financial","university of magyarovar",,,0,0,1,0
"amos","barr","hostetter",2003," non-financial","amherst college",164465,,0,0,1,0
"henry","lea","hillman",2003,"private equity","princeton university",,,0,0,3,1
"pierre","m","omidyar",2003," non-financial","tufts university",168148,,1,0,3,0
"david","whitmire","hearst",2003," non-financial","",,,0,0,4,0
"steven","","udvar-hazy",2003," non-financial","university of california los angeles",,,0,0,2,0
"blase","thomas","golisano",2003,"non-financial","alfred state, the state university of new york",,,0,0,3,0
"charles","francis","dolan",2003," non-financial","",,,0,0,4,0
"philip","f","anschutz",2003,"non-financial","university of kansas",,,1,0,1,0
"louis","l","gonda",2003,"non-financial","university of california los angeles",,,0,0,2,0
"robert","muse","bass",2003,"venture capital","yale university",243744,,0,0,3,1
"robert","david","ziff",2003,"hedge funds","harvard university",,,0,0,3,1
"james","r","cargill",2003," non-financial","",,,0,0,4,0
"sid","richardson","bass",2003," non-financial","yale university",130794,,0,0,3,0
"craig","o","mccaw",2003,"non-financial","stanford university",,,1,0,3,0
"robert","alan","pritzker",2003," non-financial","illinois institute of technology",,,0,0,1,0
"james","levoy","sorenson",2003,"non-financial","high school",,,0,0,1,0
"samuel","curtis","johnson",2003," non-financial","cornell university",,,0,0,3,0
"fayez","shalaby","sarofim",2003,"asset management","university of california berkeley",,,0,1,2,0
"steven","allen","spielberg",2003," non-financial","california state university long beach",123961,,0,0,1,0
"alfred","","mann",2003,"non-financial","university of california los angeles",,,1,0,2,0
"marguerite","","harbert",2003,"non-financial","birmingham–southern college",,,0,0,1,0
"michael","rubens","bloomberg",2003," non-financial","johns hopkins university",,,0,0,3,0
"laurence","a","tisch",2003," non-financial","new york university",193900,,0,0,3,0
"keith","rupert","murdoch",2003,"non-financial","oxford university",,,0,0,1,0
"herbert","anthony","allen",2003,"investment banking","williams college",,,0,1,1,0
"brian","l","roberts",2003,"non-financial","university of pennsylvania",,,0,0,3,0
"claire","eugenia","perry",2003,"non-financial","georgetown university",,,0,0,3,0
"stephen","m","case",2003,"non-financial","williams college",190150,,0,0,1,0
"mortimer","benjamin","zuckerman",2003," non-financial","mcgill university",193900,,0,0,1,0
"carl","edwin","berg",2003,"non-financial","university of new mexico",,,0,0,1,0
"guilford","","glazer",2003,"non-financial","",,,0,0,4,0
"christopher","","goldsbury",2003,"non-financial","trinity university",,,0,0,1,0
"thomas","o","hicks",2003,"private equity","university of texas",,,0,0,2,1
"john","","henry",2017," non-financial","",,,0,0,4,0
"christy","","walton",2017," non-financial","",,,0,0,4,0
"rupert","","murdoch",2017," non-financial","oxford university",,,0,0,1,0
"carl","","cook",2017," non-financial","purdue university",,,0,0,2,0
"diane","","hendricks",2017," non-financial","high school",,,0,0,1,0
"jorge","","perez",2017," non-financial","long island university",,,0,0,1,0
"bubba","","cathy",2017," non-financial","samford university",,,0,0,1,0
"douglas","","leone",2017,"venture capital","cornell university",,,0,0,3,1
"archie","aldis","emmerson",2017," non-financial","",,,0,0,4,0
"rick","","caruso",2017," non-financial","university of southern california",123961,,0,0,3,0
"john","paul","dejoria",2017," non-financial","high school",,,0,0,1,0
"rodger","","riney",2017,"investment banking","university of missouri",,,0,1,1,0
"daniel","","pritzker",2017," non-financial","tufts university",,,0,0,3,0
"ted","","turner",2017," non-financial","brown university",,,0,0,3,0
"herbert","","simon",2017," non-financial","city college of new york",236948,,0,0,3,0
"tom","","gores",2017,"private equity","michigan state university",,,0,0,2,1
"stephen","","schwarzman",2017,"private equity","yale university",,,0,0,3,1
"dowon & jin sook ","","chang",2017," non-financial","high school",,,0,0,1,0
"julian","h","robertson",2017,"hedge funds","university of north carolina",,,0,0,2,1
"reed","","hastings",2017," non-financial","bowdoin college",,,0,0,1,0
"judy","","faulkner",2017," non-financial","dickinson college",,,1,0,1,0
"tilman","","fertitta",2017," non-financial","",,,0,0,4,0
"jimmy","","haslam",2017," non-financial","university of tennessee knoxville",,,0,0,1,0
"steve","","cohen",2017,"hedge funds","university of pennsylvania",193900,,0,0,3,1
"anita","","zucker",2017," non-financial","university of florida",134130,,0,0,1,0
"dustin","","moskovitz",2017," non-financial","harvard university",,,1,0,3,0
"jan","","koum",2017," non-financial","",,,1,0,4,0
"h","wayne","huizenga",2017,"other financial","",,,0,1,4,0
"henry","","nicholas",2017," non-financial","university of california los angeles",,,1,0,2,0
"harry","","stine",2017," non-financial","mcpherson college",,,0,0,1,0
"tom","","golisano",2017," non-financial","alfred state, the state university of new york",,,0,0,3,0
"jeffrey","","lurie",2017," non-financial","clark university",,,0,0,1,0
"george","","soros",2017,"hedge funds","london school of economics",,,0,0,1,1
"john","","arrillaga",2017," non-financial","stanford university",,,0,0,3,0
"donald","edward","newhouse",2017," non-financial","",,,0,0,4,0
"alexander","gus","spanos",2017," non-financial","university of the pacific",,,0,0,1,0
"ted","","lerner",2017," non-financial","george washington university",,,0,0,3,0
"marijke","","mars",2017," non-financial","duke university",,,0,0,3,0
"stewart","","rahr",2017," non-financial","new york university",,,0,0,3,0
"amy","","goldmanfowler",2017," non-financial","barnard college",,,0,0,1,0
"gwendolyn","sontheim","meyer",2017," non-financial","san diego state university",,,0,0,1,0
"richard","","sands",2017," non-financial","university of vermont",195030,,0,0,1,0
"stanley","","kroenke",2017," non-financial","university of missouri",,,0,0,1,0
"ira","","rennert",2017,"other financial","brooklyn college",,,0,1,1,0
"jack","","dorsey",2017," non-financial","",,,1,0,4,0
"amos","barr","hostetter",2017," non-financial","amherst college",164465,,0,0,1,0
"charles","de","koch",2017," non-financial","massachusetts institute of technology",,,0,0,3,0
"james","r","cargill",2017," non-financial","",,,0,0,4,0
"michael","","moritz",2017,"venture capital","oxford university",,,0,0,1,1
"mark","","walter",2017,"asset management","creighton university",147767,,0,1,1,0
"jay","robert","pritzker",2017,"private equity","duke university",147767,,0,0,3,1
"jeff","","sutton",2017," non-financial","university of pennsylvania",,,0,0,3,0
"peter","","thiel",2017,"venture capital","stanford university",,,0,0,3,1
"dan","","snyder",2017," non-financial","",,,0,0,4,0
"paul","tudor","jones",2017,"hedge funds","university of virginia",,,0,0,2,1
"isaac","","perlmutter",2017," non-financial","high school",,,0,0,1,0
"neil","","bluhm",2017," non-financial","university of illinois urbana-champaign",147767,,0,0,2,0
"richard","taylor","peery",2017," non-financial","brigham young university",,,0,0,1,0
"julio","mario","santodomingo",2017," non-financial","boston university",,,0,0,3,0
"sam","","zell",2017," non-financial","university of michigan",,,0,0,2,0
"george","","lucas",2017," non-financial","university of southern california",,,0,0,3,0
"michael","","dell",2017," non-financial","",,,1,0,4,0
"robert","","sands",2017," non-financial","skidmore college",,,0,0,1,0
"len","","blavatnik",2017," non-financial","moscow state university",,,0,0,1,0
"abigail","","johnson",2017,"asset management","hobart and william smith",166683,,0,1,1,0
"thomas","j","pritzker",2017,"other financial","claremont mckenna college",144050,,0,1,1,0
"george","","roberts",2017,"private equity","claremont mckenna college",112260,,0,0,1,1
"scott","d","cook",2017," non-financial","university of southern california",,,1,0,3,0
"bill","","gates",2017," non-financial","",,,1,0,4,0
"s","daniel","abraham",2017," non-financial","high school",,,0,0,1,0
"pierre","m","omidyar",2017," non-financial","tufts university",168148,,1,0,3,0
"robert","","rich",2017," non-financial","williams college",,,0,0,1,0
"jon","lloyd","stryker",2017," non-financial","kalamazoo college",,,0,0,1,0
"bill","","gross",2017,"asset management","duke university",110404,,0,1,3,0
"noam","","gottesman",2017,"hedge funds","columbia university",190150,,0,0,3,1
"don","","vultaggio",2017," non-financial","high school",,,0,0,1,0
"daniel","","loeb",2017,"hedge funds","columbia university",,,0,0,3,1
"william","jr","wrigley",2017," non-financial","duke university",147767,,0,0,3,0
"phillip","","ruffin",2017," non-financial","",,,0,0,4,0
"bobby","","murphy",2017," non-financial","stanford university",,,1,0,3,0
"brian","","chesky",2017," non-financial","rhode island school of design",,,1,0,1,0
"tom","","benson",2017," non-financial","loyola university new orleans",,,0,0,1,0
"randal","","kirk",2017," non-financial","radford university",,,0,0,1,0
"j","christopher","reyes",2017," non-financial","university of maryland college park",152080,,0,0,2,0
"robert","","ziff",2017,"hedge funds","harvard university",,,0,0,3,1
"john","c","malone",2017," non-financial","yale university",,,0,0,3,0
"rocco","","commisso",2017," non-financial","columbia university",,,0,0,3,0
"jim","","breyer",2017,"venture capital","stanford university",166027,,0,0,3,1
"jane","","goldman",2017," non-financial","manhattanville college",,,0,0,1,0
"bert","","beveridge",2017," non-financial","university of texas austin",,,0,0,2,0
"herbert","","kohler",2017," non-financial","yale university",,,0,0,3,0
"bradley","wayne","hughes",2017," non-financial","university of southern california",,,0,0,3,0
"alice","l","walton",2017," non-financial","trinity university",,,0,0,1,0
"larry","","page",2017," non-financial","university of michigan",,,1,0,2,0
"elizabeth","","johnson",2017,"other financial","franklin pierce university",,,0,1,1,0
"alejandro","","santodomingo",2017," non-financial","harvard university",,,0,0,3,0
"daniel","","och",2017,"hedge funds","university of pennsylvania",215062,,0,0,3,1
"robert","","smith",2017,"private equity","cornell university",,,0,0,3,1
"stephen","","bechtel",2017," non-financial","purdue university",110404,,0,0,2,0
"charles","r","schwab",2017,"investment banking","stanford university",243744,,0,1,3,0
"john","","paulson",2017,"hedge funds","new york university",193900,,0,0,3,1
"philip","h","knight",2017," non-financial","university of oregon",,,0,0,1,0
"jim","","davis",2017," non-financial","middlebury college",,,0,0,1,0
"marianne","","liebmann",2017," non-financial","montana state university",,,0,0,1,0
"david","","green",2017," non-financial","high school",,,0,0,1,0
"glenn","","dubin",2017,"hedge funds","stony brook university",,,0,0,2,1
"leonard","norman","stern",2017," non-financial","new york university",193900,,0,0,3,0
"paul","","singer",2017,"hedge funds","university of rochester",,,0,0,3,1
"joe","","gebbia",2017," non-financial","rhode island school of design",,,1,0,1,0
"mark","","shoen",2017," non-financial","college of the holy cross",,,0,0,1,0
"robert","","bass",2017,"venture capital","yale university",243744,,0,0,3,1
"david","","tepper",2017,"hedge funds","university of pittsburgh",211440,,0,0,1,1
"marian","","ilitch",2017," non-financial","high school",,,0,0,1,0
"john","","catsimatidis",2017," non-financial","",,,0,0,4,0
"milane","","frantz",2017," non-financial","",,,0,0,4,0
"steven","","rales",2017," non-financial","depauw university",,,0,0,1,0
"henry","ross","perot",2017," non-financial","united states naval academy",,,0,0,1,0
"william","","conway",2017,"private equity","dartmouth college",,,0,0,3,1
"winifred","","johnson-marquart",2017," non-financial","",,,0,0,4,0
"mortimer","","zuckerman",2017," non-financial","mcgill university",193900,,0,0,1,0
"john","","pritzker",2017,"other financial","menlo college",,,0,1,1,0
"meg","","whitman",2017," non-financial","princeton university",186131,,1,0,3,0
"shahid","","khan",2017," non-financial","university of illinois urbana-champaign",,,0,0,2,0
"katharine","","rayner",2017," non-financial","",,,0,0,4,0
"jeffery","","hildebrand",2017," non-financial","university of texas austin",228778,,0,0,2,0
"gordon","peter","getty",2017," non-financial","san francisco conservatory of music",,,0,0,1,0
"bill","","haslam",2017," non-financial","emory university",221759,,0,0,3,0
"h","ross","perotjr",2017," non-financial","vanderbilt university",221999,,0,0,3,0
"carl","","icahn",2017,"private equity","princeton university",,,0,0,3,1
"henry","","samueli",2017," non-financial","university of california los angeles",,,1,0,2,0
"vinod","","khosla",2017,"venture capital","indian institute of technology",,,0,0,1,1
"sheldon","henry","solow",2017," non-financial","",193900,,0,0,4,0
"marc","","rowan",2017,"private equity","university of pennsylvania",215062,,0,0,3,1
"randa","","williams",2017," non-financial","rice university",227757,,0,0,3,0
"kelcy","","warren",2017," non-financial","university of texas arlington",,,0,0,2,0
"frederick","wallace","smith",2017," non-financial","yale university",,,0,0,3,0
"james","","simons",2017,"hedge funds","massachusetts institute of technology",,,0,0,3,1
"jim","","davisjr",2017," non-financial","villanova university",,,0,0,1,0
"ralph","","lauren",2017," non-financial","",,,0,0,4,0
"peter","","buck",2017," non-financial","bowdoin college",,,0,0,1,0
"elaine","","wynn",2017," non-financial","george washington university",,,0,0,3,0
"sid","","bass",2017,"venture capital","yale university",130794,,0,0,3,1
"john","","arnold",2017,"hedge funds","vanderbilt university",,,0,0,3,1
"richard","","lefrak",2017," non-financial","amherst college",,,0,0,1,0
"sumner","m","redstone",2017," non-financial","harvard university",,,0,0,3,0
"james","","irsay",2017," non-financial","southern methodist university",,,0,0,1,0
"richard","","devos",2017," non-financial","calvin college",121345,,0,0,1,0
"paul","gardner","allen",2017," non-financial","",,,1,0,4,0
"william","","young",2017," non-financial","university of detroit mercy",,,0,0,1,0
"charles","","simonyi",2017," non-financial","university of california berkeley",,,1,0,2,0
"david","","geffen",2017," non-financial","",,,0,0,4,0
"diane","","kemper",2017," non-financial","",,,0,0,4,0
"joan","","tisch",2017,"other financial","university of michigan",,,0,1,2,0
"philip","","anschutz",2017,"venture capital","university of kansas",,,0,0,1,1
"frank","","vandersloot",2017," non-financial","brigham young university",,,0,0,1,0
"valerie","","mars",2017," non-financial","yale university",,,0,0,3,0
"jeffrey","","skoll",2017," non-financial","university of toronto",,,1,0,1,0
"ray","","davis",2017," non-financial","",,,0,0,4,0
"nancy","walton","laurie",2017," non-financial","university of memphis",,,0,0,1,0
"gerald","","ford",2017,"investment banking","southern methodist university",,,0,1,1,0
"david","","bonderman",2017,"private equity","university of washington",,,0,0,2,1
"kenneth","","feld",2017," non-financial","boston university",164988,,0,0,3,0
"david","","siegel",2017,"hedge funds","",,,0,0,4,1
"rishi","","shah",2017," non-financial","northwestern university",,,1,0,3,0
"john","","sall",2017," non-financial","beloit college",,,1,0,1,0
"robert","c","mcnair",2017," non-financial","university of southern california",,,0,0,3,0
"margaretta","","taylor",2017," non-financial","",,,0,0,4,0
"brad","","kelley",2017," non-financial","",,,0,0,4,0
"david","","sun",2017," non-financial","tatung university",,,1,0,1,0
"sean","","parker",2017," non-financial","high school",,,1,0,1,0
"c","dean","metropoulos",2017," non-financial","babson college",,,0,0,1,0
"eric","","schmidt",2017," non-financial","princeton university",,,1,0,3,0
"jay","","paul",2017," non-financial","boston university",,,0,0,3,0
"terrence","","pegula",2017," non-financial","pennsylvania state university",,,0,0,2,0
"mark","","stevens",2017,"venture capital","university of southern california",123961,,0,0,3,1
"trevor","","rees-jones",2017," non-financial","dartmouth college",,,0,0,3,0
"ken","","griffin",2017,"hedge funds","harvard university",144050,,0,0,3,1
"riley","","bechtel",2017," non-financial","university of california davis",,,0,0,2,0
"jeff","","rothschild",2017," non-financial","vanderbilt university",221999,,1,0,3,0
"david","","filo",2017," non-financial","tulane university",,,1,0,1,0
"laurene","powell","jobs",2017," non-financial","stanford university",243744,,1,0,3,0
"john","","tyson",2017," non-financial","southern methodist university",,,0,0,1,0
"steve","","ballmer",2017," non-financial","harvard university",,,1,0,3,0
"gabe","","newell",2017," non-financial","",,,0,0,4,0
"mark","","cuban",2017," non-financial","indiana university bloomington",,,0,0,2,0
"donald","","sterling",2017," non-financial","california state university los angeles",,,0,0,1,0
"gary","","rollins",2017," non-financial","university of tennessee chattanooga",,,0,0,1,0
"chase","","coleman",2017,"hedge funds","williams college",,,0,0,1,1
"edward","crosby","johnson",2017,"other financial","northeastern university",,,0,1,3,0
"james","","coulter",2017,"private equity","dartmouth college",182670,,0,0,3,1
"phillip","","frost",2017," non-financial","university of pennsylvania",,,0,0,3,0
"glen","","taylor",2017," non-financial","minnesota state university",,,0,0,1,0
"blair","","parry-okeden",2017," non-financial","university of denver",,,0,0,1,0
"howard","","marks",2017,"private equity","university of pennsylvania",,,0,0,3,1
"david","","duffield",2017," non-financial","cornell university",,,1,0,3,0
"bob","","parsons",2017," non-financial","university of baltimore",,,1,0,1,0
"ben","","ashkenazy",2017," non-financial","",,,0,0,4,0
"eric","","smidt",2017," non-financial","high school",,,0,0,1,0
"oprah","","winfrey",2017," non-financial","tennessee state university",,,0,0,1,0
"sergey","","brin",2017," non-financial","university of maryland college park",,,1,0,2,0
"ronald","steven","lauder",2017," non-financial","university of pennsylvania",,,0,0,3,0
"robert","","pera",2017," non-financial","university of california san diego",,,1,0,2,0
"penny","","pritzker",2017,"other financial","harvard university",,,0,1,3,0
"s","curtis","johnson",2017," non-financial","cornell university",,,0,0,3,0
"ken","","fisher",2017,"asset management","humboldt state university",,,0,1,1,0
"david","","shaw",2017,"hedge funds","university of california san diego",,,0,0,2,1
"bennett","","dorrance",2017," non-financial","university of arizona",,,0,0,2,0
"kieu","","hoang",2017," non-financial","university of california santa barbara",,,0,0,2,0
"jean","","pritzker",2017," non-financial","stanford university",,,0,0,3,0
"joseph","","grendys",2017," non-financial","loyola university",,,0,0,1,0
"mark","","zuckerberg",2017," non-financial","harvard university",,,1,0,3,0
"stanley","","druckenmiller",2017,"hedge funds","bowdoin college",,,0,0,1,1
"edward","p","roski",2017," non-financial","university of southern california",123961,,0,0,3,0
"jude","","reyes",2017," non-financial","wofford college",147767,,0,0,1,0
"lee","","bass",2017,"venture capital","yale university",221999,,0,0,3,1
"alec","","gores",2017,"private equity","western michigan university",,,0,0,1,1
"stephen","","bisciotti",2017," non-financial","salisbury state university",,,0,0,1,0
"james","","jannard",2017," non-financial","",,,0,0,4,0
"patrick","","ryan",2017,"other financial","northwestern university",147767,,0,1,3,0
"johnelle","","hunt",2017," non-financial","",,,0,0,4,0
