firstname,middlename,lastname,year,financedetail,college,boardunitid1,boardunitid2,technology,otherfin,collegeschooltype,pehedge
"michael","robert","milken",1989,"private equity","university of california berkeley",,,0,0,2,1
"jane","bancroft","cook",1989," non-financial","high school",,,0,0,1,0
"jay","arthur","pritzker",1989," non-financial","university of chicago",147767,,0,0,3,0
"george","randolph","hearst",1989," non-financial","",,,0,0,4,0
"eli","","broad",1989,"other financial","michigan state university",110404,,0,1,2,0
"katharine","","graham",1989," non-financial","university of chicago",,,0,0,3,0
"john","thompson","dorrance",1989," non-financial","",,,0,0,4,0
"marvin","harold","davis",1989," non-financial","new york university",,,0,0,3,0
"stephen","davison","bechtel",1989," non-financial","purdue university",110404,,0,0,2,0
"jack","","rudin",1989," non-financial","city college of new york",,,0,0,3,0
"alice","sheets","marriott",1989,"non-financial","university of utah",,,0,0,2,0
"luigino","francesco","paulucci",1989,"non-financial","hibbing junior college",,,0,0,1,0
"grover","","connell",1989," non-financial","columbia university",,,0,0,3,0
"george","","soros",1989,"hedge funds","london school of economics",,,0,0,1,1
"cordelia","scaife","may",1989,"venture capital","",,,0,0,4,1
"alexander","gus","spanos",1989," non-financial","university of the pacific",,,0,0,1,0
"joan","beverly","kroc",1989,"non-financial","",,,0,0,4,0
"bob","john","magness",1989,"non-financial","",,,0,0,4,0
"ben","hill","griffin",1989," non-financial","university of florida",,,0,0,1,0
"maurice","raymond","greenberg",1989,"insurance","university of miami",,,0,1,1,0
"roger","","milliken",1989," non-financial","yale university",,,0,0,3,0
"jane","b","engelhard",1989," non-financial","high school",,,0,0,1,0
"millicent","v","baoudjakdji",1989,"non-financial","",,,0,0,4,0
"judd","david","malkin",1989,"non-financial","university of illinois",,,0,0,2,0
"ralph","","lauren",1989," non-financial","",,,0,0,4,0
"sigfried","","weis",1989," non-financial","yale university",,,0,0,3,0
"jack","e","brown",1989," non-financial","texas a&m university",,,0,0,2,0
"cleon","t(bud)","knapp",1989,"non-financial","university of california los angeles",,,0,0,2,0
"leonard","maximilian","marx",1989," non-financial","yale university",,,0,0,3,0
"claire","eugenia","gettyperry",1989,"non-financial","",,,0,0,4,0
"george","francis","landegger",1989," non-financial","",,,0,0,4,0
"ml","","dupont greenwalt",1989,"non-financial","",,,0,0,4,0
"hope","hill","vanbeuren",1989," non-financial","",,,0,0,4,0
"robert","staples","howard",1989," non-financial","university of minnesota",191515,,0,0,2,0
"bruce","cobb","gottwald",1989,"non-financial","virginia military institute",,,0,0,1,0
"edwin","lochridge","cox",1989," non-financial","southern methodist university",,,0,0,1,0
"randolph","apperson","hearst",1989," non-financial","harvard university",,,0,0,3,0
"jack","n","mandel",1989," non-financial","",,,0,0,4,0
"alice","francis","dupont mills",1989,"non-financial","",,,0,0,4,0
"ernest","","gallo",1989," non-financial","",,,0,0,4,0
"bennett","","dorrance",1989," non-financial","university of arizona",,,0,0,2,0
"eleanor","francis","dupont rust",1989,"non-financial","",,,0,0,4,0
"bella","","wexner",1989,"non-financial","high school",,,0,0,1,0
"frank","james","pasquerilla",1989,"non-financial","",,,0,0,4,0
"robert","","rich",1989," non-financial","state university of new york buffalo",,,0,0,3,0
"jane","cox","macelree",1989," non-financial","",,,0,0,4,0
"preston","robert","tisch",1989," non-financial","university of michigan",193900,,0,0,2,0
"oveta","culp","hobby",1989," non-financial","",,,0,0,4,0
"morton","leon","mandel",1989," non-financial","",,,0,0,4,0
"laszlo","nandor","tauber",1989,"non-financial","university budapest",,,0,0,1,0
"julio","","gallo",1989," non-financial","high school",,,0,0,1,0
"william","alvin","moncrief",1989," non-financial","university of texas austin",,,0,0,2,0
"lewis","","rudin",1989," non-financial","new york university",,,0,0,3,0
"mansfield","","freeman",1989,"non-financial","wesleyan university",,,0,0,1,0
"howard","","kaskel",1989," non-financial","",,,0,0,4,0
"richard","jerome","o’neill",1989,"non-financial","california polytechnic state university",,,0,0,1,0
"john","werner","kluge",1989," non-financial","columbia university",,,0,0,3,0
"henry","lea","hillman",1989,"private equity","princeton university",,,0,0,3,1
"paul","","mellon",1989,"commercial banking","yale university",,,0,1,3,0
"charlotte","colket","weber",1989,"non-financial","university of paris",,,0,0,1,0
"john","g","rangos",1989,"non-financial","houston school of business",,,0,0,1,0
"george","l","lindemann",1989,"other financial","university of pennsylvania",,,0,1,3,0
"carl","ray","pohlad",1989,"non-financial","",,,1,0,4,0
"john","franklyn","mars",1989," non-financial","yale university",,,0,0,3,0
"anne","catherine","gettyearhart",1989,"non-financial","",,,0,0,4,0
"sam","moore","walton",1989," non-financial","university of missouri",,,0,0,1,0
"william","norman","pennington",1989,"non-financial","",,,0,0,4,0
