digitopeid,opeid,corporationname,institutionname,claimcount,control_n,control
2066200,20662,"","NEW SCHOOL, THE",3,"Nonprofit",2
2599400,25994,"","NEW YORK COLLEGE OF HEALTH PROFESSIONS",2,"Nonprofit",2
278200,2782,"","NEW YORK INSTITUTE OF TECHNOLOGY",6,"Nonprofit",2
278300,2783,"","NEW YORK LAW SCHOOL",1,"Nonprofit",2
278500,2785,"","NEW YORK UNIVERSITY",3,"Nonprofit",2
748400,7484,"","NEWBURY COLLEGE",1,"Nonprofit",2
219900,2199,"","NORTHEASTERN UNIVERSITY",2,"Nonprofit",2
3032900,30329,"","NORTHWEST INSTITUTE OF ACUPUNCTURE & ORIENTAL MEDICINE",2,"Nonprofit",2
407200,4072,"","NORTHWOOD UNIVERSITY",2,"Nonprofit",2
407215,4072,"","NORTHWOOD UNIVERSITY - FLORIDA CAMPUS OUTREACH CENTER",1,"Nonprofit",2
407221,4072,"","NORTHWOOD UNIVERSITY - TEXAS CAMPUS OUTREACH CENTER",1,"Nonprofit",2
369200,3692,"","NORWICH UNIVERSITY",3,"Nonprofit",2
206500,2065,"","NOTRE DAME OF MARYLAND UNIVERSITY",1,"Nonprofit",2
150900,1509,"","NOVA SOUTHEASTERN UNIVERSITY-DAVIE",11,"Nonprofit",2
279000,2790,"","NYACK COLLEGE-ROCKLAND CAMPUS",1,"Nonprofit",2
308800,3088,"","OHIO COLLEGE OF PODIATRIC MEDICINE",1,"Nonprofit",2
316500,3165,"","OKLAHOMA CHRISTIAN UNIVERSITY",1,"Nonprofit",2
316600,3166,"","OKLAHOMA CITY UNIVERSITY",2,"Nonprofit",2
398500,3985,"","ORAL ROBERTS UNIVERSITY",1,"Nonprofit",2
3106200,31062,"","OUR LADY OF THE LAKE COLLEGE",1,"Nonprofit",2
279100,2791,"","PACE UNIVERSITY",1,"Nonprofit",2
378500,3785,"","PACIFIC LUTHERAN UNIVERSITY",1,"Nonprofit",2
125800,1258,"","PACIFIC UNION COLLEGE",1,"Nonprofit",2
158700,1587,"","PAINE COLLEGE",1,"Nonprofit",2
884900,8849,"","PALM BEACH ATLANTIC UNIVERSITY",1,"Nonprofit",2
1230000,12300,"","PALMER COLLEGE OF CHIROPRACTIC",1,"Nonprofit",2
2184900,21849,"","PALMER COLLEGE OF CHIROPRACTIC WEST",1,"Nonprofit",2
360200,3602,"","PAUL QUINN COLLEGE",1,"Nonprofit",2
1099800,10998,"","PENNSYLVANIA INSTITUTE OF TECHNOLOGY",3,"Nonprofit",2
1014900,10149,"","PEPPERDINE UNIVERSITY",1,"Nonprofit",2
335400,3354,"","PHILADELPHIA UNIVERSITY",1,"Nonprofit",2
317500,3175,"","PHILLIPS UNIVERSITY",1,"Nonprofit",2
4161200,41612,"","PINCHOT UNIVERSITY",3,"Nonprofit",2
220100,2201,"","PINE MANOR COLLEGE",2,"Nonprofit",2
335700,3357,"","POINT PARK UNIVERSITY",1,"Nonprofit",2
279800,2798,"","PRATT INSTITUTE",2,"Nonprofit",2
2065300,20653,"","PRESCOTT COLLEGE",2,"Nonprofit",2
321700,3217,"","REED COLLEGE",1,"Nonprofit",2
3091300,30913,"","REGENT UNIVERSITY",2,"Nonprofit",2
262800,2628,"","RIDER UNIVERSITY",3,"Nonprofit",2
1257400,12574,"","RINGLING COLLEGE OF ART & DESIGN",1,"Nonprofit",2
910900,9109,"","RIVERSIDE SCHOOL OF AERONUTICS",3,"Nonprofit",2
174600,1746,"","ROBERT MORRIS UNIVERSITY ILLINOIS",7,"Nonprofit",2
280600,2806,"","ROCHESTER INSTITUTE OF TECHNOLOGY",2,"Nonprofit",2
165900,1659,"","ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE",2,"Nonprofit",2
4065300,40653,"","ROSEMAN UNIVERSITY OF HEALTH SCIENCES",1,"Nonprofit",2
258700,2587,"","SAINT ANSELM COLLEGE",1,"Nonprofit",2
282000,2820,"","SAINT FRANCIS COLLEGE",1,"Nonprofit",2
205100,2051,"","SAINT JOSEPH'S COLLEGE",1,"Nonprofit",2
152600,1526,"","SAINT LEO UNIVERSITY",2,"Nonprofit",2
250600,2506,"","SAINT LOUIS UNIVERSITY",1,"Nonprofit",2
373900,3739,"","SAINT PAUL'S COLLEGE",1,"Nonprofit",2
176800,1768,"","SAINT XAVIER UNIVERSITY",1,"Nonprofit",2
103600,1036,"","SAMFORD UNIVERSITY",1,"Nonprofit",2
701200,7012,"","SAMUEL MERRITT UNIVERSITY",2,"Nonprofit",2
2141500,21415,"","SAVANNAH COLLEGE OF ART AND DESIGN",6,"Nonprofit",2
2120600,21206,"","SAYBROOK UNIVERSITY",1,"Nonprofit",2
379000,3790,"","SEATTLE UNIVERSITY",1,"Nonprofit",2
4067300,40673,"","SELMA UNIVERSITY",3,"Nonprofit",2
263200,2632,"","SETON HALL UNIVERSITY",3,"Nonprofit",2
336200,3362,"","SETON HILL UNIVERSITY",1,"Nonprofit",2
296200,2962,"","SHAW UNIVERSITY",1,"Nonprofit",2
373700,3737,"","SHENANDOAH UNIVERSITY",1,"Nonprofit",2
110500,1105,"","SHORTER COLLEGE",1,"Nonprofit",2
159100,1591,"","SHORTER UNIVERSITY",2,"Nonprofit",2
231600,2316,"","SIENA HEIGHTS UNIVERSITY",2,"Nonprofit",2
220800,2208,"","SIMMONS COLLEGE",1,"Nonprofit",2
2127900,21279,"","SOJOURNER-DOUGLASS COLLEGE",3,"Nonprofit",2
497700,4977,"","SOUTH TEXAS COLLEGE OF LAW",1,"Nonprofit",2
3070900,30709,"","SOUTHEAST MISSOURI HOSPITAL COLLEGE OF NURSING AND HEALTH SCIENCE",1,"Nonprofit",2
145600,1456,"","SOUTHEASTERN UNIVERSITY",2,"Nonprofit",2
152100,1521,"","SOUTHEASTERN UNIVERSITY",1,"Nonprofit",2
122900,1229,"","SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES",3,"Nonprofit",2
258000,2580,"","SOUTHERN NEW HAMPSHIRE UNIVERSITY",3,"Nonprofit",2
342200,3422,"","SOUTHERN WESLEYAN UNIVERSITY",1,"Nonprofit",2
361800,3618,"","SOUTHWESTERN CHRISTIAN COLLEGE",1,"Nonprofit",2
129500,1295,"","SOUTHWESTERN LAW SCHOOL",1,"Nonprofit",2
221100,2211,"","SPRINGFIELD COLLEGE",3,"Nonprofit",2
281700,2817,"","ST. BONAVENTURE UNIVERSITY",3,"Nonprofit",2
221800,2218,"","SUFFOLK UNIVERSITY",2,"Nonprofit",2
288200,2882,"","SYRACUSE UNIVERSITY",1,"Nonprofit",2
397900,3979,"","TEACHERS COLLEGE, COLUMBIA UNIVERSITY",2,"Nonprofit",2
352400,3524,"","TENNESSEE TEMPLE UNIVERSITY",1,"Nonprofit",2
363500,3635,"","TEXAS CHIROPRACTIC COLLEGE",1,"Nonprofit",2
363800,3638,"","TEXAS COLLEGE",1,"Nonprofit",2
364500,3645,"","TEXAS WESLEYAN UNIVERSITY",1,"Nonprofit",2
1085400,10854,"","THOMAS JEFFERSON SCHOOL OF LAW",12,"Nonprofit",2
1262700,12627,"","THOMAS M. COOLEY LAW SCHOOL",1,"Nonprofit",2
107000,1070,"","THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT",1,"Nonprofit",2
312100,3121,"","TIFFIN UNIVERSITY",3,"Nonprofit",2
4142600,41426,"","TOURO UNIVERSITY",1,"Nonprofit",2
1014225,10142,"","TOURO UNIVERSITY - CALIFORNIA",1,"Nonprofit",2
4142500,41425,"","TOURO UNIVERSITY WORLDWIDE",1,"Nonprofit",2
183900,1839,"","TRINE UNIVERSITY",1,"Nonprofit",2
141400,1414,"","TRINITY COLLEGE",1,"Nonprofit",2
369500,3695,"","TRINITY COLLEGE OF VERMONT",1,"Nonprofit",2
177212,1772,"","TRINITY INTERNATIONAL UNIVERSITY - CALIFORNIA CAMPUS",1,"Nonprofit",2
177201,1772,"","TRINITY INTERNATIONAL UNIVERSITY - SOUTH FLORIDA CAMPUS",1,"Nonprofit",2
2106700,21067,"","TRINITY LUTHERAN COLLEGE",3,"Nonprofit",2
281200,2812,"","TROCAIRE COLLEGE",1,"Nonprofit",2
105000,1050,"","TUSKEGEE UNIVERSITY",1,"Nonprofit",2
1092300,10923,"","UNION INSTITUTE & UNIVERSITY",2,"Nonprofit",2
394100,3941,"","UNIVERSIDAD DEL ESTE",1,"Nonprofit",2
1171900,11719,"","UNIVERSIDAD DEL TURABO",1,"Nonprofit",2
2587500,25875,"","UNIVERSIDAD METROPOLITANA",1,"Nonprofit",2
141600,1416,"","UNIVERSITY OF BRIDGEPORT",1,"Nonprofit",2
381800,3818,"","UNIVERSITY OF CHARLESTON",1,"Nonprofit",2
177400,1774,"","UNIVERSITY OF CHICAGO (THE)",2,"Nonprofit",2
312700,3127,"","UNIVERSITY OF DAYTON",1,"Nonprofit",2
232300,2323,"","UNIVERSITY OF DETROIT MERCY",1,"Nonprofit",2
304500,3045,"","UNIVERSITY OF FINDLAY",1,"Nonprofit",2
142200,1422,"","UNIVERSITY OF HARTFORD",3,"Nonprofit",2
153600,1536,"","UNIVERSITY OF MIAMI",3,"Nonprofit",2
139700,1397,"","UNIVERSITY OF NEW HAVEN",1,"Nonprofit",2
184000,1840,"","UNIVERSITY OF NOTRE DAME",1,"Nonprofit",2
337800,3378,"","UNIVERSITY OF PENNSYLVANIA",1,"Nonprofit",2
132500,1325,"","UNIVERSITY OF SAN FRANCISCO",1,"Nonprofit",2
132800,1328,"","UNIVERSITY OF SOUTHERN CALIFORNIA",7,"Nonprofit",2
153800,1538,"","UNIVERSITY OF TAMPA (THE)",1,"Nonprofit",2
335000,3350,"","UNIVERSITY OF THE ARTS (THE)",3,"Nonprofit",2
357800,3578,"","UNIVERSITY OF THE INCARNATE WORD",1,"Nonprofit",2
132900,1329,"","UNIVERSITY OF THE PACIFIC",1,"Nonprofit",2
318500,3185,"","UNIVERSITY OF TULSA (THE)",1,"Nonprofit",2
189300,1893,"","UPPER IOWA UNIVERSITY",1,"Nonprofit",2
288300,2883,"","UTICA COLLEGE- UTICA",2,"Nonprofit",2
338600,3386,"","VALLEY FORGE MILITARY COLLEGE",2,"Nonprofit",2
184200,1842,"","VALPARAISO UNIVERSITY",4,"Nonprofit",2
338801,3388,"","VILLANOVA UNIVERSITY - SCHOOL OF LAW",8,"Nonprofit",2
375200,3752,"","VIRGINIA INTERMONT COLLEGE",1,"Nonprofit",2
376600,3766,"","VIRGINIA UNION UNIVERSITY",1,"Nonprofit",2
376200,3762,"","VIRGINIA UNIVERSITY OF LYNCHBURG",2,"Nonprofit",2
376700,3767,"","VIRGINIA WESLEYAN COLLEGE",1,"Nonprofit",2
345500,3455,"","VOORHEES COLLEGE",1,"Nonprofit",2
297805,2978,"","WAKE FOREST UNIVERSITY - SCHOOL OF LAW",1,"Nonprofit",2
407100,4071,"","WALSH COLLEGE OF ACCOUNTANCY AND BUSINESS ADMINISTRATION",1,"Nonprofit",2
206700,2067,"","WASHINGTON ADVENTIST UNIVERSITY",1,"Nonprofit",2
366300,3663,"","WAYLAND BAPTIST UNIVERSITY - PLAINVIEW CAMPUS",1,"Nonprofit",2
252100,2521,"","WEBSTER UNIVERSITY",2,"Nonprofit",2
3001800,30018,"","WELCH COLLEGE",1,"Nonprofit",2
3339400,33394,"","WESTERN GOVERNORS UNIVERSITY",7,"Nonprofit",2
2482700,24827,"","WESTERN UNIVERSITY OF HEALTH SCIENCES",1,"Nonprofit",2
368100,3681,"","WESTMINSTER COLLEGE",1,"Nonprofit",2
134201,1342,"","WHITTIER COLLEGE - COLLEGE OF LAW",4,"Nonprofit",2
331300,3313,"","WIDENER UNIVERSITY",1,"Nonprofit",2
331301,3313,"","WIDENER UNIVERSITY - DELAWARE CAMPUS",5,"Nonprofit",2
331302,3313,"","WIDENER UNIVERSITY - HARRISBURG CAMPUS",1,"Nonprofit",2
314100,3141,"","WILBERFORCE UNIVERSITY",1,"Nonprofit",2
339400,3394,"","WILKES UNIVERSITY",1,"Nonprofit",2
239100,2391,"","WILLIAM MITCHELL COLLEGE OF LAW",1,"Nonprofit",2
794800,7948,"","WILMINGTON UNIVERSITY",1,"Nonprofit",2
223300,2233,"","WORCESTER POLYTECHNIC INST",1,"Nonprofit",2
3072500,30725,"","WORLD MEDICINE INSTITUTE",1,"Nonprofit",2
290301,2903,"","YESHIVA UNIVERSITY - SCHOOL OF LAW, BROOKDALE CENTER",1,"Nonprofit",2
160400,1604,"","YOUNG HARRIS COLLEGE",2,"Nonprofit",2
1101700,11017,"","HERZING UNIVERSITY",1,"Nonprofit (Converted)",3
2069500,20695,"","HERZING UNIVERSITY-  AKRON INSTITUTE",1,"Nonprofit (Converted)",3
134500,1345,"","ADAMS STATE UNIVERSITY",2,"Public",1
1005600,10056,"","AIKEN TECHNICAL COLLEGE",1,"Public",1
100500,1005,"","ALABAMA STATE UNIVERSITY",1,"Public",1
154400,1544,"","ALBANY STATE UNIVERSITY",6,"Public",1
108100,1081,"","ARIZONA STATE UNIVERSITY",4,"Public",1
109000,1090,"","ARKANSAS STATE UNIVERSITY",1,"Public",1
154600,1546,"","ARMSTRONG STATE UNIVERSITY",1,"Public",1
854300,8543,"","ATLANTA TECHNICAL COLLEGE",1,"Public",1
259600,2596,"","ATLANTIC CAPE COMMUNITY COLLEGE",1,"Public",1
831000,8310,"","AUBURN UNIVERSITY MONTGOMERY",1,"Public",1
155200,1552,"","AUGUSTA STATE UNIVERSITY",2,"Public",1
1201500,12015,"","AUSTIN COMMUNITY COLLEGE",1,"Public",1
347800,3478,"","AUSTIN PEAY STATE UNIVERSITY",2,"Public",1
376900,3769,"","BELLEVUE COLLEGE",1,"Public",1
331500,3315,"","BLOOMSBURG UNIVERSITY OF PENNSYLVANIA",1,"Public",1
524400,5244,"","BLUEGRASS COMMUNITY & TECHNICAL COLLEGE",1,"Public",1
161600,1616,"","BOISE STATE UNIVERSITY",1,"Public",1
206200,2062,"","BOWIE STATE UNIVERSITY",2,"Public",1
114300,1143,"","CALIFORNIA POLYTECHNIC STATE UNIVERSITY",1,"Public",1
114600,1146,"","CALIFORNIA STATE UNIVERSITY , CHICO",1,"Public",1
113900,1139,"","CALIFORNIA STATE UNIVERSITY , LONG BEACH",2,"Public",1
113800,1138,"","CALIFORNIA STATE UNIVERSITY, EAST BAY",2,"Public",1
114700,1147,"","CALIFORNIA STATE UNIVERSITY, FRESNO",1,"Public",1
3260300,32603,"","CALIFORNIA STATE UNIVERSITY, MONTEREY BAY",1,"Public",1
115300,1153,"","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",1,"Public",1
115700,1157,"","CALIFORNIA STATE UNIVERSITY, STANISLAUS",1,"Public",1
331600,3316,"","CALIFORNIA UNIVERSITY OF PENNSYLVANIA",1,"Public",1
728300,7283,"","CENTRAL ARIZONA COLLEGE",1,"Public",1
399500,3995,"","CENTRAL CAROLINA TECHNICAL COLLEGE",1,"Public",1
137800,1378,"","CENTRAL CONNECTICUT STATE UNIVERSITY",2,"Public",1
224300,2243,"","CENTRAL MICHIGAN UNIVERSITY",2,"Public",1
318800,3188,"","CENTRAL OREGON COMMUNITY COLLEGE",1,"Public",1
302600,3026,"","CENTRAL STATE UNIVERSITY",3,"Public",1
321800,3218,"","CHEMEKETA COMMUNITY COLLEGE",2,"Public",1
331700,3317,"","CHEYNEY UNIVERSITY OF PENNSYLVANIA",3,"Public",1
169400,1694,"","CHICAGO STATE UNIVERSITY",3,"Public",1
1034500,10345,"","CINCINNATI STATE TECHNICAL & COMMUNITY COLLEGE",2,"Public",1
116600,1166,"","CITRUS COMMUNITY COLLEGE",1,"Public",1
268800,2688,"","CITY COLLEGE OF NEW YORK - CUNY",1,"Public",1
450200,4502,"","CITY COLLEGE OF SAN FRANCISCO",2,"Public",1
331800,3318,"","CLARION UNIVERSITY OF PENNSYLVANIA",3,"Public",1
377300,3773,"","CLARK COLLEGE",1,"Public",1
342500,3425,"","CLEMSON UNIVERSITY",2,"Public",1
575200,5752,"","CLOVER PARK TECHNICAL COLLEGE",2,"Public",1
342800,3428,"","COLLEGE OF CHARLESTON",1,"Public",1
769400,7694,"","COLLEGE OF LAKE COUNTY",1,"Public",1
1036200,10362,"","COLLEGE OF SOUTHERN NEVADA",1,"Public",1
890300,8903,"","COLLEGE OF THE CANYONS",1,"Public",1
4211800,42118,"","COLLEGE OF WESTERN IDAHO",2,"Public",1
135000,1350,"","COLORADO STATE UNIVERSITY",1,"Public",1
4208700,42087,"","COLORADO STATE UNIVERSITY - GLOBAL CAMPUS",1,"Public",1
686700,6867,"","COLUMBUS STATE COMMUNITY COLLEGE- MAIN CAMPUS",1,"Public",1
324900,3249,"","COMMUNITY COLLEGE OF PHILADELPHIA",3,"Public",1
206800,2068,"","COPPIN STATE UNIVERSITY",2,"Public",1
119200,1192,"","CUESTA COLLEGE",1,"Public",1
268700,2687,"","CUNY BROOKLYN COLLEGE",1,"Public",1
702200,7022,"","CUNY LEHMAN COLLEGE",1,"Public",1
269000,2690,"","CUNY QUEENS COLLEGE",1,"Public",1
3191300,31913,"","CUNY SCHOOL OF LAW AT QUEENS COLLEGE",1,"Public",1
304000,3040,"","CUYAHOGA COMMUNITY COLLEGE",2,"Public",1
1040200,10402,"","DAKOTA COUNTY TECHNICAL COLLEGE",1,"Public",1
147500,1475,"","DAYTONA STATE COLLEGE",1,"Public",1
142800,1428,"","DELAWARE STATE UNIVERSITY",3,"Public",1
712000,7120,"","DES MOINES AREA COMMUNITY COLLEGE",2,"Public",1
292300,2923,"","EAST CAROLINA UNIVERSITY",1,"Public",1
348700,3487,"","EAST TENNESSEE STATE UNIVERSITY",1,"Public",1
196300,1963,"","EASTERN KENTUCKY UNIVERSITY",1,"Public",1
225900,2259,"","EASTERN MICHIGAN UNIVERSITY",4,"Public",1
1033800,10338,"","EASTERN VIRGINIA MEDICAL SCHOOL",1,"Public",1
851000,8510,"","EASTFIELD COLLEGE",3,"Public",1
119701,1197,"","EL CAMINO COLLEGE - COMPTON COMMUNITY EDUCATIONAL CENTER",1,"Public",1
192700,1927,"","EMPORIA STATE UNIVERSITY",2,"Public",1
815500,8155,"","EVERGREEN STATE COLLEGE (THE)",2,"Public",1
226000,2260,"","FERRIS STATE UNIVERSITY",1,"Public",1
218400,2184,"","FITCHBURG STATE UNIVERSITY",1,"Public",1
399000,3990,"","FLORENCE - DARLINGTON TECHNICAL COLLEGE",2,"Public",1
148000,1480,"","FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY",2,"Public",1
148100,1481,"","FLORIDA ATLANTIC UNIVERSITY",3,"Public",1
963500,9635,"","FLORIDA INTERNATIONAL UNIVERSITY",6,"Public",1
147700,1477,"","FLORIDA SOUTHWESTERN STATE COLLEGE",1,"Public",1
148400,1484,"","FLORIDA STATE COLLEGE AT JACKSONVILLE",2,"Public",1
148900,1489,"","FLORIDA STATE UNIVERSITY",3,"Public",1
531700,5317,"","FORSYTH TECHNICAL COMMUNITY COLLEGE",1,"Public",1
135300,1353,"","FORT LEWIS COLLEGE",1,"Public",1
130700,1307,"","FRESNO CITY COLLEGE",1,"Public",1
156700,1567,"","GAINESVILLE STATE COLLEGE",1,"Public",1
527300,5273,"","GATEWAY COMMUNITY AND TECHNICAL COLLEGE",1,"Public",1
538900,5389,"","GATEWAY TECHNICAL COLLEGE",1,"Public",1
374900,3749,"","GEORGE MASON UNIVERSITY",3,"Public",1
950700,9507,"","GEORGIA HIGHLANDS COLLEGE",1,"Public",1
156900,1569,"","GEORGIA INSTITUTE OF TECHNOLOGY",1,"Public",1
156200,1562,"","GEORGIA PERIMETER COLLEGE",1,"Public",1
562200,5622,"","GEORGIA PIEDMONT TECHNICAL COLLEGE",1,"Public",1
157900,1579,"","GEORGIA REGENTS UNIVERSITY",1,"Public",1
157200,1572,"","GEORGIA SOUTHERN UNIVERSITY",1,"Public",1
157400,1574,"","GEORGIA STATE UNIVERSITY",3,"Public",1
226700,2267,"","GRAND RAPIDS COMMUNITY COLLEGE",2,"Public",1
399100,3991,"","GREENVILLE TECHNICAL COLLEGE",1,"Public",1
165200,1652,"","HAROLD WASHINGTON COLLEGE",1,"Public",1
396100,3961,"","HARPER COLLEGE",1,"Public",1
327300,3273,"","HARRISBURG AREA COMMUNITY COLLEGE",1,"Public",1
199300,1993,"","HENDERSON COMMUNITY COLLEGE",1,"Public",1
787000,7870,"","HILLSBOROUGH COMMUNITY COLLEGE",2,"Public",1
240700,2407,"","HINDS COMMUNITY COLLEGE",2,"Public",1
492500,4925,"","HORRY GEORGETOWN TECHNICAL COLLEGE",1,"Public",1
1063300,10633,"","HOUSTON COMMUNITY COLLEGE",2,"Public",1
286800,2868,"","HUDSON VALLEY COMMUNITY COLLEGE",1,"Public",1
162000,1620,"","IDAHO STATE UNIVERSITY",3,"Public",1
840300,8403,"","INDIAN HILLS COMMUNITY COLLEGE",1,"Public",1
180700,1807,"","INDIANA STATE UNIVERSITY",1,"Public",1
180900,1809,"","INDIANA UNIVERSITY - BLOOMINGTON",2,"Public",1
181300,1813,"","INDIANA UNIVERSITY - PURDUE UNIVERSITY INDIANAPOLIS",2,"Public",1
181301,1813,"","INDIANA UNIVERSITY - PURDUE UNIVERSITY INDIANAPOLIS - COLUMBUS CT",1,"Public",1
181600,1816,"","INDIANA UNIVERSITY - SOUTH BEND",1,"Public",1
181700,1817,"","INDIANA UNIVERSITY SOUTHEAST",1,"Public",1
186400,1864,"","IOWA LAKES COMMUNITY COLLEGE",1,"Public",1
991700,9917,"","IVY TECH COMMUNITY COLLEGE OF INDIANA",6,"Public",1
1004000,10040,"","IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 1",1,"Public",1
1004002,10040,"","IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 1 - VALPARAISO",1,"Public",1
1010900,10109,"","IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 13",1,"Public",1
1003900,10039,"","IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 4",1,"Public",1
1004100,10041,"","IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 5",1,"Public",1
241000,2410,"","JACKSON STATE UNIVERSITY",2,"Public",1
192500,1925,"","KANSAS CITY KANSAS COMMUNITY COLLEGE",1,"Public",1
157700,1577,"","KENNESAW STATE UNIVERSITY",1,"Public",1
305100,3051,"","KENT STATE UNIVERSITY",3,"Public",1
196800,1968,"","KENTUCKY STATE UNIVERSITY",2,"Public",1
332200,3322,"","KUTZTOWN UNIVERSITY OF PENNSYLVANIA",1,"Public",1
537300,5373,"","LAKE WASHINGTON INSTITUTE OF TECHNOLOGY",1,"Public",1
319600,3196,"","LANE COMMUNITY COLLEGE",2,"Public",1
315700,3157,"","LANGSTON UNIVERSITY",1,"Public",1
358300,3583,"","LEE COLLEGE",1,"Public",1
717000,7170,"","LINCOLN LAND COMMUNITY COLLEGE",1,"Public",1
329000,3290,"","LINCOLN UNIVERSITY",1,"Public",1
693800,6938,"","LINN-BENTON COMMUNITY COLLEGE",1,"Public",1
1114500,11145,"","LONE STAR COLLEGE-NORTH HARRIS",1,"Public",1
306800,3068,"","LORAIN COUNTY COMMUNITY COLLEGE",1,"Public",1
201000,2010,"","LOUISIANA STATE UNIVERSITY & AGRICULTURAL & MECHANICAL COLLEGE",1,"Public",1
378200,3782,"","LOWER COLUMBIA COLLEGE",1,"Public",1
772800,7728,"","MACON STATE COLLEGE",1,"Public",1
332400,3324,"","MANSFIELD UNIVERSITY",1,"Public",1
218000,2180,"","MASSACHUSETTS COLLEGE OF ART AND DESIGN",1,"Public",1
696000,6960,"","MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE",1,"Public",1
359000,3590,"","MCLENNAN COMMUNITY COLLEGE",1,"Public",1
201700,2017,"","MCNEESE STATE UNIVERSITY",1,"Public",1
474000,4740,"","MERCER COUNTY COMMUNITY COLLEGE",1,"Public",1
241300,2413,"","MERIDIAN COMMUNITY COLLEGE",1,"Public",1
107700,1077,"","MESA COMMUNITY COLLEGE",1,"Public",1
1037400,10374,"","METROPOLITAN STATE UNIVERSITY",1,"Public",1
136000,1360,"","METROPOLITAN STATE UNIVERSITY OF DENVER",1,"Public",1
150600,1506,"","MIAMI DADE COLLEGE",1,"Public",1
229000,2290,"","MICHIGAN STATE UNIVERSITY",1,"Public",1
803800,8038,"","MIDDLESEX COMMUNITY COLLEGE",1,"Public",1
399300,3993,"","MIDLANDS TECHNICAL COLLEGE - AIRPORT CAMPUS",1,"Public",1
386600,3866,"","MILWAUKEE AREA TECHNICAL COLLEGE",1,"Public",1
236200,2362,"","MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE",1,"Public",1
236000,2360,"","MINNESOTA STATE UNIVERSITY ,MANKATO",1,"Public",1
2189000,21890,"","MIO-EAST CAREER AND TECHNOLOGY CENTERS - ADULT EDUCATION",1,"Public",1
123900,1239,"","MIRACOSTA COLLEGE",1,"Public",1
242400,2424,"","MISSISSIPPI VALLEY STATE UNIVERSITY",1,"Public",1
250300,2503,"","MISSOURI STATE UNIVERSITY",1,"Public",1
249000,2490,"","MISSOURI WESTERN STATE UNIVERSITY",1,"Public",1
1186400,11864,"","MOHAVE COMMUNITY COLLEGE",1,"Public",1
287200,2872,"","MONROE COMMUNITY COLLEGE",1,"Public",1
253200,2532,"","MONTANA STATE UNIVERSITY BOZEMAN",1,"Public",1
261700,2617,"","MONTCLAIR STATE UNIVERSITY",3,"Public",1
4173500,41735,"","MORENO VALLEY COLLEGE",1,"Public",1
208300,2083,"","MORGAN STATE UNIVERSITY",2,"Public",1
217200,2172,"","MOUNT WACHUSETT COMMUNITY COLLEGE",1,"Public",1
850300,8503,"","MOUNTAIN VIEW COLLEGE",1,"Public",1
124700,1247,"","NAPA VALLEY COLLEGE",1,"Public",1
359300,3593,"","NAVARRO COLLEGE",1,"Public",1
4114300,41143,"","NEVADA STATE COLLEGE",1,"Public",1
261300,2613,"","NEW JERSEY CITY UNIVERSITY",1,"Public",1
262100,2621,"","NEW JERSEY INSTITUTE OF TECHNOLOGY",1,"Public",1
265700,2657,"","NEW MEXICO STATE UNIVERSITY",1,"Public",1
200500,2005,"","NICHOLLS STATE UNIVERSITY",2,"Public",1
376500,3765,"","NORFOLK STATE UNIVERSITY",2,"Public",1
297200,2972,"","NORTH CAROLINA STATE UNIVERSITY",2,"Public",1
169300,1693,"","NORTHEASTERN ILLINOIS UNIVERSITY",1,"Public",1
316100,3161,"","NORTHEASTERN STATE UNIVERSITY",1,"Public",1
108200,1082,"","NORTHERN ARIZONA UNIVERSITY",2,"Public",1
173700,1737,"","NORTHERN ILLINOIS UNIVERSITY",2,"Public",1
372700,3727,"","NORTHERN VIRGINIA COMMUNITY COLLEGE",1,"Public",1
393100,3931,"","NORTHWEST COLLEGE",1,"Public",1
249600,2496,"","NORTHWEST MISSOURI STATE UNIVERSITY",1,"Public",1
202100,2021,"","NORTHWESTERN STATE UNIVERSITY",1,"Public",1
230700,2307,"","OAKLAND UNIVERSITY",1,"Public",1
309000,3090,"","OHIO STATE UNIVERSITY",4,"Public",1
310000,3100,"","OHIO UNIVERSITY",1,"Public",1
317000,3170,"","OKLAHOMA STATE UNIVERSITY",2,"Public",1
372800,3728,"","OLD DOMINION UNIVERSITY",1,"Public",1
287600,2876,"","ORANGE COUNTY COMMUNITY COLLEGE",1,"Public",1
575300,5753,"","OWENS STATE COMMUNITY COLLEGE",1,"Public",1
711800,7118,"","PARKLAND COLLEGE",1,"Public",1
378600,3786,"","PENINSULA COLLEGE",2,"Public",1
332900,3329,"","PENNSYLVANIA STATE UNIVERSITY (THE)",5,"Public",1
107800,1078,"","PHOENIX COLLEGE",2,"Public",1
1287500,12875,"","PICKENS TECHNICAL COLLEGE",1,"Public",1
